epoch,lr,train_loss,train_qwk,train_acc,train_seconds,val_qwk,val_acc,val_balanced_acc,val_collapsed,val_collapse_level,val_collapse_reasons,val_collapse_warnings
0,0.00015035294117647058,1.4930175935520846,0.40767706788593305,0.32852038749125195,77.75109100341797,0.4086807310390599,0.5271570986593331,0.44994602959856433,True,collapsed,accuracy 0.5272 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
1,0.0003,1.2327613600562601,0.7153552135315022,0.5045121367269513,75.13025259971619,0.4701079006512566,0.498281196287384,0.485765734436688,True,collapsed,accuracy 0.4983 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
2,0.00029906626316914654,1.1372878513616673,0.7604775127642046,0.5654720247522929,74.43172693252563,0.5898359217418272,0.6596768649020281,0.4915495222308407,True,collapsed,accuracy 0.6597 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
3,0.00029627679495900075,1.061651697439306,0.7870548039590812,0.6094515451766179,73.45625233650208,0.4369411539262613,0.4377793056033001,0.5000284321894883,True,collapsed,accuracy 0.4378 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
4,0.00029166667455079255,1.000174250462476,0.8164293101173061,0.6553832553685218,73.3830955028534,0.563872037212494,0.5843932622894465,0.5001100465227332,True,collapsed,accuracy 0.5844 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
5,0.0002852938768835092,0.9475861302544089,0.8345978383529191,0.6846661018822056,74.2434709072113,0.4906655677380273,0.5453764180130629,0.5013241836883731,True,collapsed,accuracy 0.5454 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
6,0.0002772385435854002,0.9106175916335162,0.8482481732827345,0.711665254705514,74.43047428131104,0.5750159818378195,0.6041595049845307,0.5241292129016986,True,collapsed,accuracy 0.6042 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
7,0.0002676019751465024,0.8798813341645634,0.8581192060268736,0.7306346458433092,74.44134569168091,0.5010255293656125,0.5328291509109659,0.4951753536414656,True,collapsed,accuracy 0.5328 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
8,0.0002565053570062023,0.8551816213832182,0.8714589131967093,0.7475781796751262,74.33323979377747,0.5974902529198601,0.6330354073564799,0.49447478021977914,True,collapsed,accuracy 0.6330 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
9,0.00024408823557602193,0.827371337554034,0.8783999714556565,0.7657740616597296,77.57157444953918,0.5629966604606685,0.5550017188037126,0.4830408842959275,True,collapsed,accuracy 0.5550 is within 0.02 of the majority-class rate 0.7138 — predicting the majority class for everything would score about the same,
