epoch,lr,train_loss,train_qwk,train_acc,train_seconds,val_qwk,val_acc,val_balanced_acc,val_collapsed,val_collapse_level,val_collapse_reasons,val_collapse_warnings
0,0.00015038961038961037,2.1355534101461435,0.44830288492793025,0.37789799072642966,106.76483678817749,0.3678430575910153,0.5026575550493546,0.400387901188105,False,warning,,"accuracy 0.5027 is at or below the majority-class rate 0.7369, but QWK is 0.3678 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
1,0.0003,1.1670611376886244,0.7360092314918725,0.5826486618400716,87.82830762863159,0.3852430195680886,0.36237661351556566,0.48256890454902557,False,warning,,"accuracy 0.3624 is at or below the majority-class rate 0.7369, but QWK is 0.3852 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
2,0.00029906626316914654,0.9506741906141306,0.8329970807011959,0.6910436833970552,85.53041386604309,0.48229038322118434,0.5271450265755505,0.47463838566436795,False,warning,,"accuracy 0.5271 is at or below the majority-class rate 0.7369, but QWK is 0.4823 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
3,0.00029627679495900075,0.8415163351343824,0.8731023891617289,0.7601480517367608,85.95057129859924,0.5184159087585904,0.5742217160212605,0.45958733241448596,False,warning,,"accuracy 0.5742 is at or below the majority-class rate 0.7369, but QWK is 0.5184 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
4,0.00029166667455079255,0.7512495729830357,0.8999267551604566,0.8174570894004718,85.88069987297058,0.5847486858178974,0.6862186788154897,0.48735627938104675,False,warning,,"accuracy 0.6862 is at or below the majority-class rate 0.7369, but QWK is 0.5847 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
5,0.0002852938768835092,0.6877271859676807,0.9193147079913269,0.8570731310501911,85.03288984298706,0.5182353973881686,0.6319286256643888,0.4485053354601122,False,warning,,"accuracy 0.6319 is at or below the majority-class rate 0.7369, but QWK is 0.5182 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
6,0.0002772385435854002,0.6395588596145828,0.9311030753349022,0.8857073131050192,85.72879695892334,0.5828235704656722,0.6788154897494305,0.4746098922834271,False,warning,,"accuracy 0.6788 is at or below the majority-class rate 0.7369, but QWK is 0.5828 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
7,0.0002676019751465024,0.6016802278431979,0.9442741198741579,0.9093386480110632,85.00191974639893,0.5585535587096142,0.6831814730447988,0.4539089372199574,False,warning,,"accuracy 0.6832 is at or below the majority-class rate 0.7369, but QWK is 0.5586 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
8,0.0002565053570062023,0.5635571721312288,0.9526845882979834,0.9291059952818678,85.06711435317993,0.5772384668554085,0.6998861047835991,0.47035405151416204,False,warning,,"accuracy 0.6999 is at or below the majority-class rate 0.7369, but QWK is 0.5772 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
9,0.00024408823557602193,0.5398187343176309,0.959547338708734,0.9418368177011307,84.6712555885315,0.5768143752069628,0.7065299924069856,0.46748866326362826,False,warning,,"accuracy 0.7065 is at or below the majority-class rate 0.7369, but QWK is 0.5768 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
