epoch,lr,train_loss,train_qwk,train_acc,train_seconds,val_qwk,val_acc,val_balanced_acc,val_collapsed,val_collapse_level,val_collapse_reasons,val_collapse_warnings
0,0.00015038961038961037,2.5443431194726522,0.040828444540726316,0.3915643048889612,92.4880952835083,0.19281112723006288,0.440584662110858,0.27389687595716816,False,warning,,"accuracy 0.4406 is at or below the majority-class rate 0.7369, but QWK is 0.1928 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
1,0.0003,0.5365128820592707,0.3059626779528428,0.49926787602700723,76.55308246612549,0.3804104546388116,0.255125284738041,0.31957001222291703,False,warning,,"accuracy 0.2551 is at or below the majority-class rate 0.7369, but QWK is 0.3804 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
2,0.00029906626316914654,0.26805538407393864,0.5431860965064319,0.6330025217603514,78.68937015533447,0.5368168206405848,0.47266514806378135,0.35281969508430283,False,warning,,"accuracy 0.4727 is at or below the majority-class rate 0.7369, but QWK is 0.5368 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
3,0.00029627679495900075,0.21206935245495337,0.6406738612985636,0.7114618075327422,78.20720863342285,0.633013576417902,0.6750189825360668,0.37001126147762803,True,collapsed,"referable grade(s) never predicted: 4 (Proliferative). At or above the referable threshold (2), so the system cannot flag these cases even in principle.","accuracy 0.6750 is at or below the majority-class rate 0.7369, but QWK is 0.6330 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
4,0.00029166667455079255,0.19331044332160577,0.6830721320355982,0.7354185308712275,78.63473582267761,0.7016889603282672,0.7422171602126044,0.39137904317045147,False,warning,,"accuracy 0.7422 is at or below the majority-class rate 0.7369, but QWK is 0.7017 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
5,0.0002852938768835092,0.18180559882289404,0.7014739135301263,0.7509965020743512,78.03673720359802,0.7037026327481999,0.7532270311313591,0.41360265324313916,False,warning,,"accuracy 0.7532 is at or below the majority-class rate 0.7369, but QWK is 0.7037 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
6,0.0002772385435854002,0.17047906062239176,0.7244897830815327,0.7638086716017246,78.62961959838867,0.7007747557349945,0.7667046317388003,0.39763262016004763,False,none,,
7,0.0002676019751465024,0.16461307944415451,0.7359813011451863,0.7702757666964939,78.08202266693115,0.7111388686648592,0.7811313591495824,0.4223593645663917,False,none,,
8,0.0002565053570062023,0.1573033291604612,0.752888928273507,0.7810949320751648,80.97294354438782,0.7257792033401862,0.7815110098709187,0.4368744621501115,False,none,,
9,0.00024408823557602193,0.15368528004203524,0.7585825525084913,0.7802001138859513,79.14683961868286,0.7149537132239067,0.7873955960516325,0.42776564138444195,False,none,,
10,0.00023050676336252746,0.14524802090479183,0.775591850810392,0.7932563247376556,79.16132950782776,0.7479343929030383,0.7856871678056189,0.46593739720206157,False,none,,
11,0.00021593173525895733,0.13810035250597186,0.788642684941357,0.7992353371837632,82.34822368621826,0.7255916373561977,0.7659453302961275,0.3886545430344327,False,none,,
12,0.0002005464407003423,0.12962906972154395,0.803333003432972,0.8096070934678272,80.65621137619019,0.7202616852777325,0.7752467729688687,0.37981154702416153,False,none,,
13,0.00018454435869251265,0.12542332554018343,0.8111961183318717,0.815382738143659,79.99632477760315,0.7511738309936632,0.7830296127562643,0.4624721534246426,False,none,,
14,0.0001681267247013412,0.11855394316280816,0.8218453412090337,0.8229886927519726,79.83227610588074,0.7444032502803806,0.7779043280182233,0.46110989737731656,False,none,,
15,0.0001515,0.11452692157842896,0.8311095240234199,0.8275034572520947,77.61158466339111,0.7382754600895619,0.7750569476082004,0.4536958197129305,False,none,,
16,0.00013487327529865877,0.10631741414983552,0.8404639210183893,0.8347840234279671,77.64017176628113,0.7314712515684767,0.7902429764616553,0.45029143662624466,False,none,,
17,0.00011845564130748732,0.0986143606049674,0.8534963966654231,0.8455625152525827,78.68217945098877,0.7567115614038575,0.7691723614274867,0.4857779661106352,False,none,,
18,0.00010245355929965772,0.09527615796919767,0.8596838938555325,0.8496298706580981,79.13505101203918,0.7345264300974645,0.775626423690205,0.46353218783576955,False,none,,
19,8.706826474104262e-05,0.08906994132058961,0.8701845885053702,0.8596355649556658,78.24753618240356,0.7367956818601529,0.7739179954441914,0.45818141681115965,False,none,,
20,7.249323663747253e-05,0.08378632850703094,0.8790959192998715,0.8642723501179533,77.78347826004028,0.7312684455138299,0.788914198936978,0.4168627332897725,False,none,,
21,5.8911764423978075e-05,0.07956848745415737,0.8857313056450278,0.8687464410640202,77.47550320625305,0.7409398363970718,0.7898633257403189,0.4656515835109961,False,none,,
22,4.6494642993797704e-05,0.07484546131031079,0.8933804304335715,0.8751728626047344,78.71060752868652,0.737707447420624,0.7904328018223234,0.4590290870063347,False,none,,
23,3.539802485349757e-05,0.07129129435044604,0.8990895271249569,0.8803384039697388,78.02249693870544,0.7369660697311555,0.7929005315110099,0.4585194086790739,False,none,,
24,2.5761456414599805e-05,0.06875017640942876,0.9015946795955336,0.8826567965508826,77.51229858398438,0.7394031545191836,0.781700835231587,0.4610110897458723,False,none,,
