epoch,lr,train_loss,train_qwk,train_acc,train_seconds,val_qwk,val_acc,val_balanced_acc,val_collapsed,val_collapse_level,val_collapse_reasons,val_collapse_warnings
0,0.00015038961038961037,0.8948147866633032,0.37264026696942876,0.33096070934678273,67.11342406272888,0.4221600332869606,0.6057327258921792,0.4223398714159927,True,collapsed,accuracy 0.6057 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
1,0.0003,0.6028266206190184,0.7151737963524236,0.4982510371756284,68.05314016342163,0.47494341328784884,0.5372057706909643,0.4605000323073945,True,collapsed,accuracy 0.5372 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
2,0.00029906626316914654,0.49875849245430587,0.7678827218171466,0.5558447897177256,68.39987301826477,0.5046619912215968,0.5201214882308276,0.4696469484010707,True,collapsed,accuracy 0.5201 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
3,0.00029627679495900075,0.4283327251285702,0.7965927353622557,0.5976978768404784,68.22208571434021,0.3180045096103383,0.39882308276385725,0.453726503348702,True,collapsed,accuracy 0.3988 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
4,0.00029166667455079255,0.3642208502277151,0.8258960708569896,0.6421947449768161,67.79282450675964,0.5341780023588625,0.5774487471526196,0.5007052667335582,True,collapsed,accuracy 0.5774 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
5,0.0002852938768835092,0.32035959498448807,0.8434862099801455,0.6768079394777515,68.36690354347229,0.521569997961076,0.6006074411541382,0.4961144325453269,True,collapsed,accuracy 0.6006 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
6,0.0002772385435854002,0.2887684816663915,0.854674401513075,0.70292036118116,68.3617651462555,0.5549878439381297,0.6336370539104025,0.46841754362417776,True,collapsed,accuracy 0.6336 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
7,0.0002676019751465024,0.2721480219782173,0.8676642250106872,0.7179695761815668,68.62409043312073,0.4621779236961958,0.47190584662110857,0.5001012542868242,True,collapsed,accuracy 0.4719 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
8,0.0002565053570062023,0.25142985795225414,0.8727983840471318,0.7364353697226064,67.92412042617798,0.532316135237913,0.6302201974183751,0.491889499457886,True,collapsed,accuracy 0.6302 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
9,0.00024408823557602193,0.23542953102619618,0.8723305761233486,0.7473358822093874,68.97871279716492,0.45754155740190183,0.5518223234624146,0.4683006698973249,True,collapsed,accuracy 0.5518 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
10,0.00023050676336252746,0.22030499337555526,0.8825171081349602,0.7659643699666477,67.91636514663696,0.5424498390639589,0.6273728170083523,0.44504364995760676,True,collapsed,accuracy 0.6274 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
11,0.00021593173525895733,0.20731937854320973,0.8861870511289363,0.7773122915480355,67.88784170150757,0.5097715670161551,0.5708048595292331,0.481615414336708,True,collapsed,accuracy 0.5708 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
12,0.0002005464407003423,0.19599867765005533,0.8925844404632917,0.7898397461970227,67.0964252948761,0.5030309541095181,0.6176917236142748,0.4577516147315367,True,collapsed,accuracy 0.6177 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
13,0.00018454435869251265,0.18191065066433573,0.8986932066201624,0.8036687545757748,67.57692551612854,0.48994060015771523,0.5878891419893698,0.4619156373402327,True,collapsed,accuracy 0.5879 is within 0.02 of the majority-class rate 0.7369 — predicting the majority class for everything would score about the same,
