epoch,lr,train_loss,train_qwk,train_acc,train_seconds,val_qwk,val_acc,val_balanced_acc,val_collapsed,val_collapse_level,val_collapse_reasons,val_collapse_warnings
0,0.00015038961038961037,1.70971303156444,0.159965770046673,0.5822825998535752,94.6011335849762,0.4260900069087773,0.7395596051632498,0.34125147521258603,False,warning,,"accuracy 0.7396 is at or below the majority-class rate 0.7369, but QWK is 0.4261 — this is what rebalancing looks like, not a collapse: the model is trading accuracy for rare-class recall on purpose"
1,0.0003,0.9293195586699944,0.4998246863757766,0.7631172211827869,77.81156516075134,0.5750396263526225,0.7854973424449506,0.3935418046279909,False,warning,,"grade(s) never predicted: 1 (Mild). Below the referable threshold (2), so no referral decision changes; this is the characteristic weakness of an unbalanced baseline and what the imbalance arms are measured against."
2,0.00029906626316914654,0.8521067736984848,0.6047312698431174,0.7905718701700154,75.34451746940613,0.6090234101686198,0.8025816249050873,0.37837939025342526,False,warning,,"grade(s) never predicted: 1 (Mild). Below the referable threshold (2), so no referral decision changes; this is the characteristic weakness of an unbalanced baseline and what the imbalance arms are measured against."
3,0.00029627679495900075,0.8169186598294741,0.6581734453242243,0.8054177174001464,75.00679898262024,0.6326403295184677,0.8052391799544419,0.42517856594742415,False,warning,,"grade(s) never predicted: 1 (Mild). Below the referable threshold (2), so no referral decision changes; this is the characteristic weakness of an unbalanced baseline and what the imbalance arms are measured against."
4,0.00029166667455079255,0.7943365518148844,0.6983589724160467,0.8162368827788172,77.16868305206299,0.693581770802193,0.7864464692482915,0.5046436037423024,False,none,,
5,0.0002852938768835092,0.7760505985129963,0.7226865121688356,0.8240868787114618,79.584716796875,0.6318539309618338,0.8073272589217919,0.41131371482689943,False,none,,
6,0.0002772385435854002,0.7574758703832503,0.7380637970752906,0.8302692589278451,78.67850232124329,0.6942082126258078,0.8118830675778284,0.4635850682497759,False,none,,
7,0.0002676019751465024,0.7339553260183954,0.7659446541682458,0.8404376474416334,81.48281574249268,0.6873173411778777,0.79707668944571,0.5070376797175025,False,none,,
8,0.0002565053570062023,0.7116474119099704,0.7838989734024697,0.8482876433742781,86.92338371276855,0.6959429406457822,0.79916476841306,0.5005712441211108,False,none,,
9,0.00024408823557602193,0.684228973264818,0.8090606610028752,0.8609777922394859,82.83019089698792,0.7132522265671786,0.8086560364464692,0.4778484304492462,False,none,,
10,0.00023050676336252746,0.6507560143223057,0.8355312788060028,0.8772472138615472,85.92222166061401,0.7077365914826943,0.8075170842824602,0.4921079390835986,False,none,,
11,0.00021593173525895733,0.623538685619057,0.85261689091453,0.8890018709834865,81.8368890285492,0.7087290359749072,0.7947987851176918,0.5075211904348352,False,none,,
12,0.0002005464407003423,0.5876140998555468,0.8803210621673629,0.9066541934434231,79.06759476661682,0.7028312043411831,0.7845482156416097,0.5091991643066041,False,none,,
13,0.00018454435869251265,0.5630786515675582,0.8941438967096142,0.9186935654437485,82.82429337501526,0.6939825988586544,0.8020121488230828,0.4618363109776654,False,none,,
14,0.0001681267247013412,0.5381275706476979,0.9097413120119967,0.9306515903359636,85.28006052970886,0.6861311361340068,0.794039483675019,0.49374936369035033,False,none,,
15,0.0001515,0.5158082276195675,0.9241539238182312,0.9426909623362889,81.28145480155945,0.6812119938271585,0.7875854214123007,0.4952130237548128,False,none,,
16,0.00013487327529865877,0.49454197930051136,0.9391291222346348,0.9536728219311803,81.62406373023987,0.6867369160361932,0.7875854214123007,0.48181102829245503,False,none,,
